923 801
817 905 195
345 278 -108
172 560 -18
484 154 -943
112 102 700
195 406 -197
837 410 -5
459 853 469
513 548 -762
228 647 941
636 718 -489
780 864 -522
738 896 390
775 527 17
101 913 420
499 543 699
732 316 187
340 188 826
901 72 -260
288 712 -730
484 472 -715
467 754 -217
648 542 801
86 41 -189
452 187 -588
54 244 -286
568 549 -975
101 672 132
741 262 834
129 256 462
184 683 -475
491 233 -380
647 306 -532
730 838 559
170 799 431
752 588 -112
417 242 880
260 754 142
786 396 -903
94 768 840
91 213 -834
542 292 169
20 76 820
100 658 93
137 68 453
715 26 804
388 749 -507
39 51 143
848 232 415
380 15 206
115 208 -885
537 869 -653
824 421 426
525 173 852
441 652 498
188 657 -906
73 150 -484
844 158 323
540 891 849
290 592 722
792 220 -374
495 476 231
165 648 214
228 577 752
327 121 959
133 103 22
287 143 -621
387 454 -128
789 886 584
555 878 185
345 881 -489
428 472 648
713 561 -561
660 105 -846
53 290 647
893 507 878
350 822 -587
311 816 536
162 763 605
381 447 -119
397 46 -705
792 351 661
666 784 -201
669 416 -233
247 330 471
546 739 -259
79 695 -882
597 648 -968
350 107 117
877 719 -533
517 261 -118
522 858 -414
692 606 -877
743 761 -574
612 372 -569
456 844 925
501 451 606
813 361 -479
724 370 -546
875 413 797
781 568 101
622 582 217
899 807 157
176 247 35
673 800 465
23 874 404
744 628 524
464 910 -37
308 921 -561
293 514 -372
182 153 518
95 709 164
205 573 -104
219 304 -120
628 178 -782
150 599 589
884 678 519
580 746 -20
631 240 148
876 17 439
892 513 -269
227 792 -858
200 385 361
915 122 -939
316 821 -674
892 720 -721
484 216 -864
417 537 -141
724 361 134
14 576 -463
575 751 647
846 484 -215
18 33 623
448 342 -650
72 313 -532
785 109 32
211 315 -80
672 22 797
849 589 -997
518 645 642
832 748 -368
179 233 774
144 823 37
180 43 -724
6 214 -463
171 176 984
34 427 748
776 861 225
230 72 -747
782 448 723
279 357 340
214 4 523
72 892 -234
596 643 -366
858 689 -337
593 121 511
493 906 609
397 393 -316
116 239 818
844 343 -178
777 599 24
293 914 -481
277 822 -551
672 727 91
120 523 -59
308 103 -257
909 677 -403
902 556 -500
543 137 933
699 368 -307
588 873 336
637 84 769
676 579 852
151 555 416
593 303 992
264 799 68
30 475 245
552 916 72
679 721 -407
320 593 -292
671 743 400
860 719 -40
621 353 -884
628 557 -429
713 401 -950
98 870 10
803 290 -320
837 16 -399
761 211 184
730 378 -294
602 782 287
232 263 -382
241 305 -789
541 405 309
378 613 833
857 222 678
266 388 889
568 830 54
601 41 525
872 60 -232
337 347 -842
285 456 615
765 588 228
162 690 -644
806 263 -638
795 126 -166
1 653 922
23 814 -666
133 233 852
500 876 455
626 586 116
124 10 -285
791 73 463
149 410 928
290 8 -643
702 292 531
16 20 -394
64 178 -366
433 126 -277
418 3 459
91 58 492
287 537 -47
275 569 563
587 176 826
391 69 623
631 618 -736
163 683 -819
651 825 -332
247 203 -900
574 29 848
458 783 71
455 842 150
14 856 87
63 189 -318
905 790 -136
277 192 -788
112 748 -846
751 340 -941
766 816 291
48 214 -557
27 577 683
628 670 -969
898 783 351
382 181 400
244 35 -213
667 830 -462
847 615 772
276 426 -60
1 67 180
513 803 -840
23 631 -443
19 421 -240
581 890 355
102 212 -392
420 457 -48
61 215 -908
55 458 560
273 162 924
27 388 -418
835 183 -379
741 852 -962
908 371 -636
781 799 327
801 405 443
360 697 936
567 635 990
461 771 601
415 55 -778
503 499 643
104 601 -35
369 295 120
475 2 496
308 64 466
688 668 -740
92 682 200
731 258 -566
67 220 -869
663 29 321
56 572 -1
461 71 740
660 162 -316
521 398 819
86 642 -511
320 213 865
375 722 -423
173 350 -587
200 346 -91
619 887 242
141 653 935
798 815 96
361 117 -957
669 738 173
767 897 -459
315 753 618
680 12 -400
573 262 42
821 680 216
861 747 313
617 607 707
20 414 18
273 709 -364
528 767 -591
349 877 -241
742 199 313
716 438 -363
839 866 -154
907 860 374
95 491 118
920 568 693
746 865 -189
923 792 -50
401 118 -365
569 672 821
817 402 -205
173 61 321
41 464 181
900 132 252
245 422 -1000
492 81 -349
679 264 745
103 608 23
122 299 -459
465 527 -317
521 431 -521
167 810 -601
159 500 -498
593 408 -99
341 56 520
484 28 892
443 279 372
526 700 -246
544 277 178
89 408 195
585 172 -662
525 242 871
459 298 -974
341 559 695
646 532 567
860 476 167
57 913 -786
436 378 -472
312 286 134
278 232 -899
679 116 -183
517 909 982
480 632 399
374 112 658
350 288 -24
676 297 -340
273 148 589
906 351 -935
497 799 -456
700 695 -13
46 6 444
21 709 15
913 767 186
739 406 772
465 263 892
197 585 -217
148 276 222
18 643 810
416 590 -95
259 538 -168
403 595 -858
890 419 591
64 488 -322
250 602 -49
104 310 142
49 50 726
904 87 490
775 199 -893
424 885 513
532 98 626
573 860 -376
371 887 841
61 90 455
479 835 596
618 167 291
82 911 29
861 560 349
629 32 -516
900 848 586
920 477 71
657 136 -411
114 60 178
616 329 338
14 414 680
731 423 738
807 254 -768
371 443 817
311 208 -815
298 594 885
206 111 -59
673 920 -969
37 798 721
456 865 18
623 205 -26
6 784 624
878 491 -195
627 685 -89
10 85 646
896 715 -523
