19
941 1736
465 688 825
41 96 175
190 576 794
249 207 816
353 156 452
638 908 700
578 742 607
544 95 75
877 546 222
549 507 606
10 876 227
659 465 98
422 13 886
183 502 799
364 129 975
624 179 779
683 741 189
462 908 569
660 872 745
789 666 752
928 532 991
199 180 724
913 779 297
716 50 16
706 785 263
796 20 329
10 44 280
35 107 291
41 503 231
118 750 557
274 31 933
87 149 340
114 500 475
723 57 312
7 844 635
796 641 92
656 188 815
871 87 434
240 588 584
805 294 2
190 794 216
5 158 570
379 848 728
393 72 934
936 495 120
283 339 347
302 605 927
791 826 671
809 800 50
406 446 316
68 543 89
691 719 870
362 817 292
587 510 566
202 527 39
124 648 696
584 804 321
265 792 534
570 703 185
770 932 305
877 899 297
636 476 156
133 213 426
55 217 276
266 54 311
935 296 358
431 398 771
350 97 628
48 777 658
857 495 161
544 744 929
303 547 134
132 693 689
281 399 605
418 937 596
725 691 242
170 701 389
209 744 306
70 506 628
86 692 895
347 520 697
582 179 950
298 31 843
813 76 315
588 390 974
794 661 563
96 668 423
457 751 857
635 908 558
714 696 119
738 417 376
470 758 86
443 628 583
721 629 35
392 722 932
495 519 405
199 805 917
378 643 341
57 506 154
298 575 209
63 454 426
476 67 520
189 789 89
543 485 952
495 271 39
884 227 320
364 859 772
485 706 761
543 561 289
676 269 536
385 197 954
676 435 904
327 574 356
186 683 312
237 104 817
95 866 643
822 669 199
243 150 992
630 772 118
623 836 472
663 436 382
580 881 844
599 391 903
588 208 504
801 232 552
370 342 927
783 394 904
575 269 231
666 209 390
438 547 937
313 17 398
653 329 430
430 758 730
887 365 38
822 589 763
648 368 23
715 554 9
521 346 417
553 357 826
600 762 283
520 736 200
835 832 897
215 73 690
394 543 127
61 319 617
538 888 708
425 718 716
122 636 734
501 105 161
883 13 840
485 559 382
414 138 914
654 19 12
195 755 594
190 459 121
227 543 373
643 825 417
584 826 590
101 224 712
52 587 731
148 457 414
32 598 494
239 393 161
684 57 242
921 205 501
19 389 517
15 64 50
473 316 656
558 912 589
744 287 580
19 884 884
732 424 712
419 413 635
677 915 918
553 774 793
791 679 300
71 483 650
692 300 786
434 130 872
504 462 75
618 764 427
362 466 498
535 774 482
763 940 443
47 57 288
150 409 458
598 241 782
159 290 424
412 738 408
827 91 277
160 705 603
894 603 430
817 245 646
112 899 875
670 497 847
7 435 68
831 97 562
96 763 125
166 389 568
924 632 390
796 328 622
104 501 224
232 305 598
40 120 563
801 504 240
302 589 258
715 887 206
212 931 413
300 288 54
139 420 824
517 605 480
303 805 149
352 307 667
789 88 529
305 17 349
632 851 57
785 821 910
425 230 415
382 255 51
141 330 817
722 862 163
71 290 31
816 273 432
864 825 982
783 9 166
82 535 505
236 108 881
401 44 771
719 689 511
12 613 921
565 483 216
416 501 341
191 54 171
123 583 994
202 566 861
154 789 43
588 731 947
544 171 769
447 617 347
569 18 923
180 667 142
372 623 647
853 621 378
936 453 818
262 389 523
32 132 932
487 826 181
75 657 223
829 764 112
87 66 553
876 152 320
128 365 551
370 147 915
89 617 775
22 675 910
362 378 544
443 368 584
938 323 467
920 840 61
395 181 796
299 493 58
41 442 80
269 110 708
160 826 228
259 246 988
932 555 602
183 895 863
882 611 687
707 565 987
834 787 930
12 173 381
615 169 58
646 659 66
240 876 981
779 172 448
441 110 765
187 593 769
74 48 306
163 11 357
417 322 475
866 133 203
233 331 642
825 661 313
61 319 396
831 117 160
90 818 357
734 160 841
174 580 289
47 25 658
377 92 830
727 705 408
435 858 162
195 327 282
455 788 494
924 67 69
823 369 473
137 544 872
132 442 833
279 3 630
627 241 367
139 649 650
237 889 623
362 366 132
671 139 548
252 207 633
100 311 926
568 303 516
372 87 61
938 238 750
480 331 884
128 733 564
108 812 129
457 331 594
520 222 817
847 153 646
574 580 993
288 513 248
172 830 948
875 358 886
47 705 565
331 282 697
52 141 346
167 809 559
634 11 468
74 171 264
708 811 7
499 312 671
264 418 111
618 583 540
228 128 418
572 398 553
762 595 816
230 718 149
627 222 144
633 841 593
807 234 208
407 540 219
235 309 594
448 430 891
209 838 152
826 421 189
264 464 995
21 159 312
512 642 904
305 58 798
651 485 831
256 629 21
760 260 316
929 844 126
351 455 386
462 445 85
873 607 242
286 114 339
606 772 36
11 661 784
382 325 977
891 264 235
99 724 806
892 733 293
908 73 335
889 729 939
383 909 567
397 477 334
41 26 380
42 463 693
50 56 841
886 940 746
140 698 625
368 804 370
581 73 554
195 578 484
677 1 55
119 607 725
215 194 593
800 249 829
521 662 369
895 713 554
640 151 769
666 168 642
518 160 111
449 127 449
893 155 145
92 392 928
770 174 160
417 712 601
697 459 941
47 181 834
778 834 840
695 646 728
109 386 789
925 701 255
28 558 523
917 277 336
872 529 184
108 22 6
772 246 394
655 11 367
450 911 807
761 459 344
185 707 973
898 699 567
928 709 739
356 478 921
791 676 655
170 388 15
682 443 473
32 928 189
300 345 781
784 595 36
266 781 406
157 63 466
908 571 882
807 862 89
470 140 715
124 912 349
208 588 135
729 425 109
900 379 832
250 783 238
353 858 891
733 878 281
869 823 722
370 405 150
821 884 513
619 527 286
888 676 878
857 1 251
785 649 199
352 70 639
82 579 377
747 921 822
535 196 7
514 491 468
339 781 158
208 538 173
344 517 172
622 372 874
687 187 51
752 177 78
490 611 150
85 30 13
375 289 52
161 69 589
533 336 866
18 901 355
403 352 231
69 737 623
322 727 496
689 941 391
296 741 58
192 255 842
27 804 518
354 279 601
368 751 16
448 22 576
760 16 776
330 915 200
141 123 306
768 646 421
332 343 325
855 470 167
721 317 145
414 410 882
588 724 971
559 264 599
642 710 552
447 46 238
734 303 486
389 530 178
482 745 555
752 330 180
710 494 981
340 504 806
841 368 705
445 802 253
107 241 303
168 429 573
940 89 158
893 588 627
256 44 950
1 557 690
694 536 84
526 400 610
370 504 356
3 100 539
300 216 247
253 592 782
386 565 840
261 328 144
379 880 812
25 707 61
630 583 761
91 620 968
552 494 76
729 738 351
493 932 506
147 875 524
782 511 672
925 502 249
450 778 539
585 758 674
494 76 70
389 610 783
843 751 405
515 893 474
808 654 991
289 905 664
619 259 844
776 42 602
30 402 461
796 86 348
657 66 516
232 19 17
751 174 471
114 724 499
521 467 887
117 229 186
415 203 952
497 22 336
917 694 896
243 152 386
354 595 53
36 776 923
442 92 737
880 663 499
800 496 757
846 927 806
610 474 738
850 299 619
709 52 358
290 668 248
795 333 255
546 497 365
333 151 279
231 859 187
294 917 676
160 811 201
827 397 690
176 878 413
135 174 475
764 276 164
747 925 393
573 285 428
47 46 575
477 170 199
136 4 958
594 458 562
757 228 282
267 685 689
144 127 449
761 12 891
873 874 393
537 306 751
634 1 29
184 780 568
68 242 413
179 607 114
581 851 681
718 20 882
198 119 858
125 669 906
27 166 871
722 12 482
371 362 850
885 716 685
112 282 222
644 771 805
419 116 366
380 688 654
440 447 524
773 107 859
221 414 935
789 457 821
58 335 263
391 164 862
626 736 4
469 514 340
176 537 904
837 549 262
864 70 615
853 793 77
265 254 754
715 897 180
750 192 567
408 456 131
397 452 980
119 585 880
591 532 730
621 505 247
708 934 440
880 521 976
223 933 855
281 313 301
102 847 691
106 626 828
909 398 596
321 692 859
233 138 347
717 197 255
934 311 566
362 578 72
684 753 415
447 472 774
252 926 201
61 162 918
371 394 636
915 768 763
150 645 956
166 404 326
329 199 291
381 201 272
927 377 881
686 136 86
35 824 437
235 112 330
611 290 706
395 500 11
932 851 103
550 192 653
156 301 63
81 86 602
556 128 694
266 903 665
1 601 593
903 624 819
162 332 516
376 783 786
282 842 317
148 639 578
403 619 175
373 81 257
267 76 572
365 213 335
727 558 635
445 64 866
369 925 8
876 259 538
3 279 106
40 672 749
590 318 484
153 908 736
599 878 231
458 747 662
210 668 764
106 400 998
427 310 148
70 674 503
894 926 581
690 392 346
899 775 606
311 235 156
358 233 213
783 633 302
287 619 199
390 298 836
486 810 336
585 214 897
856 324 41
212 590 678
210 548 146
645 563 448
331 702 311
725 530 299
732 793 601
191 524 714
35 677 410
360 797 44
348 59 120
98 486 168
415 219 939
412 9 121
187 121 516
886 4 824
403 329 484
419 929 820
645 58 766
83 685 930
695 289 909
826 606 970
574 272 917
374 871 216
439 783 400
865 589 672
56 146 276
236 502 437
153 61 878
830 329 900
284 435 274
515 273 672
713 556 360
625 44 558
921 928 277
77 370 902
244 38 313
339 887 602
818 610 861
587 641 138
23 270 197
506 639 397
521 830 474
697 463 290
479 681 204
534 411 446
393 825 300
835 570 790
543 493 865
787 676 681
277 95 885
836 25 843
543 564 94
559 851 933
567 421 376
394 245 559
155 710 1000
562 478 326
153 617 750
446 216 499
442 90 470
311 580 808
3 633 393
282 42 255
383 876 179
655 116 338
78 594 336
838 194 37
342 889 210
709 807 924
65 147 509
463 455 81
319 407 589
833 200 1
456 51 98
683 587 347
200 109 55
447 783 364
530 280 339
655 819 952
885 94 444
459 537 246
158 338 1000
66 786 469
871 347 17
327 101 348
201 936 792
763 514 105
610 86 998
448 374 294
751 929 748
325 293 65
941 707 354
931 204 9
562 843 984
845 900 635
468 710 283
502 12 730
172 229 726
600 633 114
789 484 799
816 409 171
321 758 460
797 537 719
65 24 345
863 147 744
728 389 19
285 750 238
682 635 134
690 328 628
634 939 340
38 136 738
293 34 402
557 496 19
456 677 566
350 310 538
828 771 681
847 191 373
495 672 679
498 314 248
919 577 636
344 45 677
312 269 103
719 880 462
919 264 195
380 250 803
348 782 521
523 666 806
93 852 545
355 823 150
887 602 901
640 99 44
721 684 596
797 664 30
633 412 467
939 208 597
595 563 883
528 624 189
348 613 446
19 55 910
169 720 597
43 359 161
540 873 407
148 534 179
224 12 410
353 662 187
25 19 381
166 152 65
335 246 760
277 49 808
858 511 492
516 60 766
301 791 512
711 878 689
147 482 499
511 106 758
143 680 307
139 64 886
160 31 540
136 448 237
1 849 972
909 176 796
447 74 588
812 571 74
4 356 887
444 847 525
592 732 708
673 488 791
931 666 885
725 99 586
242 180 62
566 843 252
633 120 853
792 366 587
401 183 986
513 39 431
181 220 538
551 243 602
201 791 9
101 115 396
866 812 848
727 50 308
53 129 644
507 269 673
419 185 367
177 727 317
561 421 336
792 9 404
73 388 293
734 292 31
439 299 347
246 542 283
39 882 693
698 482 486
57 895 913
45 835 986
108 680 49
935 825 58
71 104 435
