885 2770
652 151 733
14 403 411
190 230 451
520 558 666
561 661 508
596 616 448
249 656 575
57 22 586
436 448 451
391 474 771
827 294 498
751 586 541
513 518 906
764 721 840
399 316 127
572 385 402
224 211 985
536 639 979
438 390 783
31 863 859
449 447 403
359 607 118
19 823 91
652 104 469
864 834 84
397 197 169
20 806 557
666 7 689
783 459 614
856 131 84
470 726 321
142 15 578
592 132 436
388 429 395
634 726 23
141 532 748
799 381 247
824 492 415
425 218 472
238 591 43
510 458 115
52 538 751
558 311 903
75 85 333
607 658 736
651 675 953
562 78 795
406 869 332
26 508 469
222 688 370
683 627 141
213 29 802
377 123 690
237 712 35
513 85 401
353 567 344
237 307 409
261 244 654
522 758 149
621 873 328
719 77 485
483 235 749
138 9 114
359 76 586
10 749 798
129 45 576
227 628 886
498 283 708
809 726 699
489 87 614
446 296 181
169 183 162
130 453 807
327 816 245
173 250 72
752 319 869
240 859 627
133 776 545
251 550 611
393 695 248
878 801 587
135 609 309
107 725 295
436 667 269
617 563 373
396 298 564
834 363 843
672 42 757
452 418 926
879 78 349
414 755 766
691 466 785
439 24 636
235 767 449
437 646 206
61 705 849
498 70 235
190 801 349
711 290 120
839 836 671
446 501 746
661 823 693
259 719 876
739 571 865
196 165 859
549 402 502
285 649 556
716 373 959
86 531 86
9 204 575
100 63 754
497 770 536
284 198 363
93 326 604
58 6 507
793 637 664
31 857 548
355 63 125
657 566 722
17 94 167
342 544 760
763 549 35
40 73 814
461 850 1
216 377 860
212 852 390
577 27 927
12 442 971
214 536 244
77 332 161
260 151 932
652 839 686
591 564 64
25 226 151
63 73 48
706 483 169
135 34 258
636 148 100
711 759 774
360 690 803
819 284 27
513 157 143
395 860 544
871 493 835
825 118 590
659 353 599
501 766 981
401 372 508
50 41 671
108 421 15
40 564 443
284 173 314
145 873 481
609 72 792
830 859 768
826 668 788
313 882 866
639 384 227
706 318 257
348 191 381
13 419 15
504 691 569
573 118 72
86 636 623
27 737 196
357 127 316
350 645 850
234 803 701
770 16 339
791 839 300
284 426 893
786 595 785
31 309 499
684 589 403
229 842 902
185 705 627
646 231 597
542 597 200
357 721 758
43 272 350
800 47 350
667 641 517
650 481 463
831 570 799
85 588 533
261 201 685
114 657 50
667 529 414
274 354 593
181 407 968
185 98 643
486 525 617
813 403 550
872 358 407
148 163 934
796 556 241
522 387 775
830 348 748
200 175 774
481 875 848
405 419 485
507 732 301
79 754 620
756 701 873
670 544 487
338 107 391
547 870 242
579 52 895
388 58 31
871 586 193
591 776 272
736 69 127
831 739 627
755 844 783
686 81 815
285 229 604
41 215 146
611 436 374
365 289 820
209 21 122
366 426 738
146 381 401
335 848 268
130 854 504
655 340 128
782 749 258
279 166 169
444 243 836
545 814 405
357 217 434
745 149 192
570 778 727
712 458 531
789 54 488
646 266 187
174 339 686
23 209 161
419 689 878
146 745 286
449 624 521
786 466 828
291 796 34
825 415 94
657 354 260
873 866 593
248 367 229
797 883 267
546 784 291
266 525 591
623 425 824
101 58 542
877 495 921
792 652 759
251 712 856
319 9 372
627 714 584
18 52 752
110 276 869
359 876 526
161 121 512
322 627 20
19 189 63
150 96 411
361 755 352
681 376 420
720 18 899
526 529 955
815 278 245
520 29 914
100 284 79
754 706 301
118 275 899
24 537 459
410 234 65
827 388 813
20 818 737
561 319 865
760 636 993
390 840 818
815 197 645
68 859 646
252 30 952
607 282 704
426 483 305
249 603 893
346 742 606
69 647 18
198 205 290
4 495 593
60 312 208
434 116 886
731 880 327
687 868 694
362 872 752
776 244 163
825 49 454
374 879 126
100 586 257
45 852 613
64 67 449
363 804 901
354 2 443
799 551 463
504 288 906
680 110 913
783 511 454
754 683 614
802 604 241
219 625 594
178 728 195
98 57 518
510 439 47
864 868 635
99 707 175
776 63 162
776 126 631
245 420 345
14 509 275
455 726 195
97 328 418
837 774 474
554 302 743
860 101 527
648 599 569
99 525 991
451 700 937
670 812 674
106 730 101
449 850 356
24 667 3
7 860 628
754 812 723
71 492 809
201 510 875
14 276 971
707 460 112
645 640 629
848 710 535
313 547 937
12 460 171
593 206 966
786 332 882
433 802 831
278 772 934
791 279 916
378 593 973
325 147 628
74 511 318
562 31 906
269 98 573
325 792 534
702 557 263
197 879 553
54 104 713
163 4 335
295 834 275
751 580 855
556 622 383
187 780 889
448 43 347
539 395 603
441 655 867
368 719 24
511 41 128
135 706 216
345 290 925
748 390 461
714 371 413
275 310 273
840 828 115
198 791 983
530 399 382
681 851 122
371 400 396
222 623 495
201 725 810
330 732 559
402 647 600
287 59 793
95 394 174
781 341 894
621 80 912
792 53 481
471 769 624
457 314 353
383 29 935
400 57 302
132 554 636
707 395 973
590 879 135
230 723 98
304 406 605
704 860 628
789 515 608
107 212 279
242 415 105
503 391 94
724 641 632
868 393 879
273 272 768
355 329 22
315 705 447
410 814 467
765 311 949
497 679 412
654 128 347
706 665 713
135 146 579
225 171 45
338 519 120
138 689 565
614 744 12
428 511 896
374 82 302
634 178 547
492 843 291
571 411 18
567 398 720
734 7 541
410 137 590
460 197 119
245 159 61
140 836 945
678 98 775
404 489 555
85 825 995
167 573 92
11 304 928
874 647 811
515 109 57
405 546 147
455 733 163
214 856 663
569 255 454
374 672 336
610 735 462
866 232 16
764 75 74
619 101 222
76 384 769
448 186 857
386 202 412
420 17 73
70 674 293
101 867 495
256 410 855
350 416 588
640 363 731
424 157 508
361 215 964
310 819 294
826 284 525
153 736 88
514 506 674
745 278 859
440 465 962
356 252 846
653 235 979
95 866 504
541 576 779
302 742 493
686 201 990
477 174 441
198 166 828
506 435 918
282 249 239
846 126 275
572 717 287
90 572 116
771 314 142
471 70 611
165 108 90
320 813 83
552 268 807
414 717 540
167 438 762
552 440 224
253 857 251
43 550 853
301 521 611
240 15 946
393 1 710
751 827 270
597 509 737
516 764 627
528 128 615
304 266 22
500 799 484
37 815 787
557 299 723
615 291 650
266 482 943
215 556 458
858 522 403
32 294 602
846 118 973
254 51 159
37 760 764
775 852 929
693 839 264
431 77 322
549 466 920
632 569 737
607 339 893
284 349 854
299 257 586
814 496 133
104 867 482
830 306 133
676 303 402
253 884 549
18 839 238
137 109 664
499 246 677
679 1 516
5 813 737
784 797 290
797 481 975
10 290 259
339 394 155
776 245 172
624 548 703
700 632 595
519 863 879
101 148 39
492 884 648
786 331 516
580 583 358
43 416 154
524 52 274
243 76 662
5 503 836
366 432 980
469 740 811
423 258 135
338 405 276
306 589 934
1 336 43
524 710 15
145 470 200
371 673 927
104 15 27
89 617 244
296 367 718
338 703 514
355 225 456
760 86 36
858 425 437
569 767 617
512 765 465
650 834 463
111 175 992
540 378 173
593 613 699
864 761 260
709 634 39
670 489 960
386 821 907
568 662 458
551 5 282
674 153 178
302 54 36
759 338 813
138 685 855
408 329 81
350 240 582
130 230 895
376 631 952
807 737 855
573 37 99
568 125 307
77 70 883
811 785 33
591 287 136
808 183 142
519 394 841
387 772 537
858 133 121
131 754 976
558 649 579
96 780 575
410 229 468
571 112 384
342 852 274
639 614 185
878 304 147
600 484 809
547 88 388
252 527 897
494 424 824
289 51 575
661 258 191
105 571 213
639 381 949
773 430 888
74 86 136
485 255 706
316 528 17
69 831 966
567 30 957
310 737 652
618 687 386
293 617 346
105 59 153
95 362 875
724 304 265
416 539 860
208 580 749
691 742 733
220 263 888
589 324 756
164 729 880
737 5 62
530 403 38
868 460 783
170 583 278
258 304 361
222 571 248
568 195 526
351 416 293
650 267 260
308 165 580
736 577 808
21 160 291
508 345 117
724 280 436
274 343 942
86 602 141
535 496 953
160 625 198
774 716 783
562 595 260
237 341 859
790 775 708
618 436 516
867 501 30
136 829 989
151 128 190
164 653 247
552 367 667
724 690 998
754 368 621
245 263 497
348 816 224
201 23 874
61 435 859
234 223 350
466 501 613
581 209 279
840 877 119
727 619 309
85 772 641
187 153 149
749 158 328
588 620 139
300 336 930
663 54 813
278 759 719
863 517 727
45 584 185
719 430 524
323 732 88
332 286 550
661 406 266
561 844 123
24 126 98
373 571 926
769 400 816
734 693 729
768 182 140
348 520 392
688 613 318
322 672 563
256 132 762
868 315 14
93 414 332
307 567 924
169 199 497
102 358 887
735 632 194
383 183 138
651 150 824
729 624 256
621 793 58
151 322 363
476 142 779
828 804 602
489 214 85
479 111 495
576 454 822
793 827 5
178 434 900
195 325 313
143 835 228
805 94 828
225 210 833
399 672 515
842 366 802
308 485 675
854 513 336
825 121 976
265 669 538
31 182 286
93 834 917
650 99 588
328 139 583
82 545 74
305 421 790
678 670 19
451 659 386
507 297 919
171 722 572
120 283 158
295 299 622
580 110 907
836 706 91
324 425 345
322 280 809
261 357 642
694 129 434
322 830 736
406 359 849
163 325 391
259 159 38
712 173 165
815 746 830
80 473 716
655 18 213
74 883 192
40 840 140
594 180 763
509 451 557
583 174 828
779 749 361
775 92 273
130 541 26
430 760 390
666 617 280
762 347 344
629 459 249
509 716 592
824 841 582
332 764 118
534 419 816
647 778 249
216 124 262
392 336 740
884 446 489
40 24 112
783 9 381
772 215 847
259 610 27
393 741 969
652 395 688
290 273 963
808 780 857
584 654 817
365 26 103
524 108 501
565 688 382
215 66 152
359 32 341
629 381 439
463 791 404
176 773 317
816 877 471
714 774 452
747 759 628
838 438 891
232 420 77
218 83 791
245 654 114
506 509 875
382 101 701
167 452 949
594 360 880
600 45 606
619 408 489
311 197 809
528 841 981
393 641 546
726 510 985
883 585 70
878 532 858
630 253 477
251 405 194
488 230 413
31 463 469
871 711 517
749 447 665
16 607 229
721 429 279
272 481 751
496 874 228
642 664 825
777 457 584
239 771 703
632 503 338
158 499 357
375 772 379
278 274 61
617 608 909
464 807 806
511 17 97
497 882 518
264 59 683
59 606 237
470 510 289
774 176 209
432 278 553
725 745 843
48 296 548
781 99 395
825 79 328
469 433 196
235 192 603
755 7 778
676 639 808
332 484 185
440 795 610
155 595 639
476 773 188
404 160 641
574 323 617
497 188 568
597 808 181
593 123 329
94 815 622
652 293 375
