16
946 853
53 194 342
403 734 -624
375 787 -31
129 157 77
158 324 474
278 941 -224
422 788 -368
931 656 721
898 463 890
180 167 -393
552 422 -39
675 195 338
202 604 760
920 503 -14
278 282 -908
633 167 233
608 602 -698
23 392 810
793 605 -754
558 542 561
349 13 754
154 263 -432
20 347 -619
133 260 -847
60 154 -828
135 122 -914
22 377 -659
817 434 -987
734 195 -885
73 3 454
217 766 -644
927 90 736
27 129 386
407 16 -422
808 873 -482
492 401 -623
944 588 199
381 241 -961
696 606 451
778 183 661
783 666 36
137 369 -465
853 615 -393
430 699 -633
505 510 330
668 534 628
543 195 -498
321 226 -383
233 98 -258
226 100 812
564 60 -268
457 817 640
517 550 -600
395 16 -537
333 756 570
39 210 -500
4 635 105
931 906 -354
761 822 631
79 369 232
794 169 502
896 839 139
206 422 -758
876 561 -986
889 323 -642
718 892 498
504 358 -648
209 939 -188
669 3 -535
247 89 -886
120 487 886
606 323 -927
57 768 280
367 291 715
59 49 -993
534 385 129
484 333 53
588 659 42
461 372 -305
736 73 -548
278 902 -250
179 41 358
505 341 -563
833 362 898
446 22 -124
380 703 -532
62 679 -991
656 276 -93
629 122 -829
936 587 503
604 328 113
727 574 155
114 116 262
95 787 459
542 556 782
741 181 544
283 718 95
448 501 816
87 429 -219
876 339 576
456 557 515
107 652 528
259 129 -136
108 191 -537
558 607 -448
784 452 346
587 337 -959
346 264 -186
837 652 868
603 150 506
693 744 124
83 572 124
689 469 -115
31 852 -311
110 352 327
860 90 -344
418 110 349
292 277 -102
741 350 573
457 292 -225
899 862 -883
392 249 306
691 271 715
182 105 991
507 474 255
93 344 813
837 436 272
580 77 -817
912 837 -640
870 485 -117
338 546 451
52 173 174
546 621 -836
692 793 -727
46 697 219
714 945 -562
258 528 166
154 801 870
268 888 -300
443 940 609
695 639 -116
108 126 -576
123 172 -862
442 571 -41
616 443 -45
332 176 766
366 935 840
272 43 -668
101 606 549
65 162 934
184 80 890
680 159 -298
216 436 -630
204 938 -373
187 309 216
10 700 86
686 206 -643
530 802 -10
409 392 266
326 590 -938
577 8 94
436 124 -35
308 713 -625
631 591 -569
55 934 -706
549 687 -964
698 191 90
755 600 -152
521 213 329
705 841 784
9 78 -541
741 662 801
623 838 -889
936 182 715
347 717 -368
203 163 600
280 776 319
409 848 -227
555 553 178
507 941 -931
507 694 26
757 211 370
267 908 -402
736 842 -55
491 640 -594
898 261 -367
503 738 878
489 736 -995
690 390 505
527 558 -519
776 292 462
764 110 -139
480 841 848
820 663 -559
781 722 -810
548 126 152
521 412 -904
747 96 -452
83 123 -693
106 432 -366
262 232 863
797 577 -216
