8499 28094
7907 6183 757
8404 6255 -973
3077 3218 -696
3109 2728 -788
7587 4432 -7
197 4830 950
640 1394 -326
1426 5694 -155
2557 2327 -181
1556 1555 -4
371 5017 838
2417 4339 -945
1762 507 -176
3084 4860 941
517 5843 -332
851 7662 321
4497 5726 -335
2477 6961 988
10 2469 -129
2902 2226 -840
2761 6803 755
1038 8081 -50
803 1651 171
7376 6562 -302
6012 2361 435
8163 7117 974
7623 7694 -947
332 4358 -177
6023 6327 571
551 6003 -518
4136 7890 -924
4621 1643 335
922 4957 195
3259 5307 617
4254 5359 72
3879 8002 -786
4370 7392 -258
5217 7270 -483
7202 187 236
7654 1862 509
8326 3970 270
657 6697 399
1060 8135 295
2208 5237 451
7764 3405 -770
1728 3903 845
6020 4419 996
6302 3625 649
8092 604 462
7743 3925 -812
2435 7795 933
3439 8073 -560
8398 7323 465
8245 2889 -748
1631 8103 -991
365 6283 201
6189 3543 -106
4111 7444 -364
8266 7517 138
5064 1301 -598
7945 7169 340
8316 6474 -337
2911 5879 281
2706 6565 974
4817 1014 78
146 3307 -979
1097 4416 -98
2984 997 -731
2918 6232 -657
5472 4210 170
7032 5246 -229
2243 7145 -658
779 6270 152
2430 5270 -846
4179 4786 -371
6087 2291 -997
289 562 -648
3646 4789 -774
7804 6079 -630
8251 1867 874
1227 8355 71
969 4796 -442
968 2073 1000
4668 7022 -408
5445 5169 -421
4407 3987 -336
5299 7698 -42
1467 7087 -526
1515 2315 180
2857 3303 760
3743 8486 528
3845 2558 -362
6671 2042 722
4398 172 -321
4905 7264 -974
8307 7936 -73
4981 810 -183
2830 6216 -395
7408 402 -998
4354 7749 286
3164 3831 807
6448 3916 891
6964 4653 -2
1876 5799 -107
1129 4359 -74
7265 382 -160
2282 2063 66
5966 2252 959
1954 4164 -58
5899 1304 -187
5612 7982 652
8338 3065 -234
5378 8168 -769
3305 5306 318
3743 6911 -505
6363 1770 -153
5429 5891 -375
616 3458 -624
2706 6327 156
1768 1587 -631
7914 2768 -401
6239 2980 375
8380 4720 -562
4155 6815 -49
5092 7813 -58
6355 2198 -238
7854 2704 -844
6838 7762 484
6484 2329 -650
523 2430 54
1476 7543 -4
3545 4679 -843
7929 2229 604
397 7384 -605
5001 3169 332
1428 3024 -648
7941 4158 815
5804 2468 -542
2528 1624 -610
2980 6502 391
1487 567 -388
1833 6339 585
6146 782 159
4285 5493 -339
1752 6627 -279
7382 7144 -613
285 1010 838
781 7737 -838
393 77 25
5597 6607 -577
5322 117 753
955 4950 558
5801 2018 -457
1960 2054 64
6777 5161 330
1152 2393 303
76 5298 374
854 3733 -789
3033 1418 644
3130 5068 342
6634 6156 -396
329 2431 -401
4330 1805 232
5730 1164 616
1862 8136 -961
7900 2824 -532
6744 4181 233
2721 2861 -178
1781 5633 841
7329 1653 806
6637 3597 -79
6771 322 -84
1094 4538 -349
8489 1320 -343
7933 3517 -645
6623 7992 365
632 5112 408
6931 7685 -824
5996 6636 -792
6494 524 881
5790 830 -632
286 7067 -628
5546 3256 -257
3766 2502 572
2703 5783 -780
857 6160 111
7137 5116 348
7308 7273 720
497 5759 -71
5853 2575 388
3832 3501 5
7632 1251 -545
7143 6555 -861
6257 1620 -461
6719 3860 -505
3178 3918 -371
2122 5484 977
5494 880 916
7069 194 -909
5870 1218 769
4438 8 -467
6608 5946 656
3310 1886 484
6847 4787 -301
3865 915 258
7124 2987 860
1904 4304 -441
4679 4271 -934
702 5154 689
2734 5409 -790
2178 2481 542
1931 7395 774
6227 3057 -730
1356 5190 330
4140 4794 125
4027 7591 687
1018 3953 382
1763 8104 903
6891 3586 799
6862 821 -54
2142 5886 824
2518 605 -885
6964 8042 -135
8016 7482 -150
4916 7188 310
2497 5905 681
1815 448 235
3504 738 -52
3754 5390 191
6961 132 538
1861 6014 563
5385 2367 -327
7081 6466 -907
6694 145 -66
2327 6031 -264
3030 3260 82
8235 793 266
5928 7372 145
7454 1231 531
2179 1283 -351
7246 5405 217
7927 3617 271
959 7839 467
8292 6099 -501
4906 5495 334
6721 5543 -575
6431 659 66
3720 2011 38
2582 8083 194
1773 27 651
5360 8068 -800
1546 4712 -886
1088 962 -729
3929 8434 -677
8403 3138 769
6536 1971 181
315 588 -8
3716 1841 -723
756 696 337
5042 446 -592
2668 8056 -959
2541 3009 836
6349 6855 347
3855 7598 553
4907 3006 -407
8324 8276 -94
2274 578 -934
6905 1264 -659
8414 4245 -940
6430 5724 -92
1680 23 -839
470 2279 -332
1832 1429 -323
7035 7829 -149
319 1154 -965
982 5817 425
4709 2623 -879
1031 2333 -542
891 623 710
2111 3957 -480
5582 2226 -327
4526 6702 -656
5013 8449 -500
2672 5864 -566
7912 785 -548
8309 5402 -746
8494 1195 -119
3594 5250 977
4378 3969 -118
159 154 -257
6262 2726 419
8445 540 502
1037 5534 18
2110 1654 88
6563 5839 240
7314 6788 996
399 2339 956
4292 8269 983
5702 4656 -332
2797 692 -674
3416 4085 -97
1185 6080 115
5868 5045 -608
7799 5879 601
7453 6353 750
2962 2658 739
6702 2489 -516
4326 8393 -391
2590 1536 -440
7002 6814 391
7384 836 -785
2206 5943 478
6191 5642 -314
4545 4443 -799
3400 4799 1
6666 1307 719
152 2137 649
5247 5052 -703
8323 1521 -111
5500 351 791
429 1119 963
7340 7803 -980
7834 6473 417
4142 5151 -927
6848 5466 701
2796 7328 77
7817 2886 975
5523 3427 -465
4694 6162 975
2988 808 -978
5350 7359 687
1954 5756 929
5962 6352 -876
8052 1674 421
3268 5050 -718
6300 353 193
7876 1848 -118
3983 8140 789
5269 3876 694
1270 4326 240
218 415 791
4755 1532 737
7520 580 767
4669 8482 -729
6141 2423 230
3581 690 483
6669 2318 221
466 4259 -680
8376 5293 710
2084 8036 905
3825 601 568
2325 4618 569
3220 4542 565
163 1178 219
2059 6716 338
1292 3489 280
4837 5055 -946
1022 4543 131
1733 270 680
6963 6625 813
7461 6601 -22
2584 7246 67
3745 4890 661
5795 700 -150
1866 3681 2
5737 1387 743
3684 3820 -902
191 4411 525
7531 6413 445
6 770 -931
5740 5620 -91
1277 1467 803
5609 6063 -649
4664 3863 -348
217 257 306
1873 6423 362
1831 4925 -245
3148 1440 -799
3445 3241 101
2868 3922 526
4385 5607 266
5965 3352 32
4361 3968 207
807 3767 -958
6724 5008 897
5958 5592 -646
6748 7466 901
2650 1794 -954
552 8228 -231
6652 5831 -841
5127 5196 -754
3515 2412 -976
3570 4248 -332
2983 7662 -554
1389 517 587
6346 6363 563
7877 5150 372
873 739 -974
5788 6555 253
3191 826 -765
5817 789 -519
6026 7066 323
8384 7932 769
5006 959 196
4694 2842 -622
6290 6563 -393
6967 1144 867
5301 2084 -365
5223 6010 -716
6248 5653 -685
4674 5956 648
2593 5726 287
4468 7146 340
4307 56 -257
4688 468 -143
862 1164 848
1852 6000 608
8453 5026 282
4226 1636 143
2634 5456 -733
6888 5652 -130
7839 7943 961
5201 3983 -897
5446 757 -19
4110 4185 -12
7224 3889 -241
5261 3196 -656
5306 2344 -636
4604 6005 129
8005 1272 207
961 5358 682
40 2905 508
5938 8491 -749
2426 102 627
7299 3839 379
18 2135 666
5765 96 -767
7816 3393 -20
8467 1432 -71
6221 4126 -779
3449 1539 -388
6212 5953 -53
5173 4077 -600
1325 4585 742
7583 6612 -697
2825 4869 271
2675 7351 -875
2217 5484 966
4054 2624 -976
2356 3065 -513
5241 3521 873
2018 154 965
2355 7340 -24
3638 4846 38
7377 7911 -581
5428 6556 370
7674 2908 620
2128 6782 361
350 4648 -89
2500 5071 620
7191 2762 -913
2232 5790 -910
7723 4725 -374
1088 6555 -305
3839 4482 546
3399 671 -111
6367 4058 258
7313 779 -71
4717 2567 -187
6752 1471 -21
4226 7047 -900
7946 6975 997
3577 297 -502
5173 8330 -298
1131 4277 -38
7176 3508 -197
3048 42 403
337 7676 -325
2547 2135 -265
4224 5544 353
6931 4953 66
4546 1278 -893
8499 5318 898
5230 1046 470
142 872 -523
5359 6573 -193
6045 1711 -784
3801 3993 255
5501 2173 -764
3249 2789 985
4781 790 -806
666 6822 -682
3223 4828 570
6116 5643 -47
2051 4796 10
1353 7782 -297
2943 3040 124
3653 6659 -404
1148 2656 61
3383 5727 -523
5054 620 -214
6797 3955 -745
6209 8445 399
1540 8028 57
2425 5822 732
7893 8384 -596
5099 2129 159
4045 6984 -907
2513 4342 541
2877 2444 -557
6677 7276 -953
3945 5327 585
4449 1854 701
7722 6337 339
7819 8394 974
2383 2026 260
3895 5647 -585
5340 3837 -906
6403 569 954
2524 6281 48
7680 4981 30
342 3467 460
1783 829 -881
4113 6664 -580
2933 3554 641
4427 788 -641
2755 4081 -889
3676 3311 319
29 1151 149
6290 5556 686
5058 294 466
6166 2366 382
3096 3395 908
8498 3979 626
5934 3567 632
2661 2008 -180
5157 9 908
5758 3905 626
8404 3188 -895
6148 8336 -372
7723 828 112
2470 5539 -795
1078 7718 241
6803 8128 -513
5316 1412 349
6294 6564 362
7490 5909 687
1415 8128 496
720 4911 896
8163 2484 -883
3560 7009 158
8136 4943 477
4591 862 558
1601 1306 -87
5588 3558 198
8063 8400 506
8413 7995 -954
2009 7600 -71
1911 2464 506
4973 240 668
3937 2309 -463
3445 5346 -41
3450 6897 -201
2048 7881 -661
8354 4002 -270
2845 5275 564
2020 5634 491
4077 4130 777
4975 7100 906
4092 5772 364
7784 2586 -533
8391 2371 945
7025 99 70
4992 7897 -655
5975 4158 -209
6905 4470 659
4908 4374 645
1801 1835 409
7347 5781 75
3221 3594 778
515 3644 332
6165 5703 -536
4845 1277 95
92 3236 957
7821 5419 385
3321 2173 276
6862 1902 -996
138 4045 -314
3665 7149 -641
7721 3472 355
8243 6308 235
1324 1433 -126
4750 982 -178
8406 3959 126
5333 697 -957
3248 5257 504
3487 3208 931
383 4833 279
8127 3917 524
5036 5081 -874
8445 4984 -732
5163 89 -931
7224 5540 -493
1571 5273 25
7259 5925 -789
3016 5345 675
4988 4475 -905
4978 5736 -26
2894 1020 -613
917 8372 121
523 4614 732
533 8269 526
5984 3001 852
4680 2671 -126
4243 1032 910
5015 3177 126
5594 3487 -449
5912 1466 -116
3667 4559 -114
7549 3469 -901
4449 1828 255
1607 1828 67
6500 4922 286
6953 4713 826
2047 7023 291
5315 4993 -296
884 4898 299
715 8440 604
110 2926 609
7744 5140 -656
6184 2595 496
2877 1729 -959
7136 750 788
4912 620 833
2600 1970 150
4109 6564 -282
7070 6325 -569
5199 523 -971
1802 2462 -684
1982 8111 347
681 8095 -321
2660 7998 -310
2100 3625 -860
4831 4654 -308
8457 6171 -342
8366 5556 -894
1657 3441 -985
6163 4937 -862
2087 5451 735
2219 7842 138
5415 8114 575
5344 1488 577
1503 2622 366
291 3814 -193
2295 6990 -193
2082 651 445
5000 7086 -851
7733 4336 945
2187 2162 -25
3977 461 185
1409 6618 665
4622 784 -418
4739 8040 869
2032 820 -705
2691 2587 462
8070 2478 159
4848 4348 -722
2958 6038 128
327 3558 16
8335 2776 836
5681 8348 -997
7040 2904 90
1480 232 -165
5652 3063 -312
6082 5206 -385
59 1846 -13
5476 8307 -122
8191 1109 -614
2047 3050 -957
3120 2237 -551
3873 3712 489
5816 6205 -20
4065 3345 -356
6245 2347 593
7027 768 463
4702 3609 314
7039 4299 233
1900 6027 143
2166 5441 -691
6564 8071 -308
3729 5827 -933
4134 479 766
5720 4600 -400
4539 8202 -620
2356 4780 -161
7947 5104 513
2409 439 579
859 8435 -521
5546 4327 -143
7472 7698 -337
1699 459 274
830 158 -546
69 6202 687
2175 5502 -889
6308 4427 -646
151 4388 179
5256 4736 829
1639 8111 657
2129 3002 767
4225 8058 12
831 8346 -239
672 7789 800
6025 6575 416
816 1969 961
3837 7681 -390
962 3659 -223
5923 4384 858
6022 6978 465
1801 4187 -422
5353 853 -555
3740 3580 936
1142 1681 783
110 39 -66
1541 8399 744
8339 3984 180
4299 4769 377
5318 3794 966
4325 6925 -810
7508 4714 -743
5239 2114 -603
303 3478 -953
2264 3011 24
6558 2670 -310
4535 4200 -641
3895 2659 483
5553 3008 149
694 3669 661
827 6512 221
1044 2592 -637
8055 7965 -776
8136 5748 763
2522 1308 234
5803 3187 143
3579 6965 15
6148 5366 -897
341 7688 -574
4231 5930 -212
3056 8454 163
3887 301 111
4582 4192 880
4584 6493 -965
6979 3594 -122
1870 5193 626
1528 8391 896
7183 6312 -840
6825 3396 649
6122 4772 -292
752 33 -164
7371 394 960
6019 7083 288
124 4300 613
8324 1588 -607
6841 3774 -313
2731 4589 -685
7583 5815 932
57 4684 -717
7781 7784 725
6941 5395 476
2516 6896 -533
152 4570 574
5665 6252 205
1001 7907 232
7861 81 -764
3562 3102 42
5164 3158 -83
695 8329 -680
3689 7629 395
5632 6798 -106
6429 3015 844
7715 2038 802
3903 7705 137
630 4194 -514
2331 1986 246
3920 1062 286
2338 5465 75
8250 2080 179
7785 853 -543
5343 4001 -163
3447 7643 -834
8189 7389 944
91 7162 929
6609 2253 179
4114 6547 533
2501 2546 602
6124 1686 -13
7201 8378 -638
4508 7780 -946
4704 739 431
7858 7172 -694
5585 2852 413
2546 3982 -819
6852 3705 360
7634 3813 -513
7977 474 -909
6645 8479 -496
8106 8215 959
5795 3022 -30
6108 6007 -837
1459 3663 -62
4691 4469 -62
2587 8200 470
4096 7582 87
5824 6989 10
2646 5892 -711
753 5226 174
5650 7514 220
4602 2148 882
3192 7183 -348
8307 1933 -214
9 7783 -274
3641 1206 -141
4803 5996 -214
5485 4726 -493
279 4787 207
36 2797 925
1305 8100 318
6043 6717 -793
392 8103 -325
2631 4543 472
4297 790 858
7984 7981 -200
286 692 742
3620 5898 875
1615 5668 -764
8104 5673 -285
2161 42 -743
4544 1337 -326
4066 1021 -113
2982 2153 -529
8117 5280 -918
1214 1390 -109
1223 2082 506
8223 7950 38
60 932 -287
7066 6713 448
1566 4259 -776
4685 6917 566
4746 4739 168
5089 3673 411
3435 2955 86
4114 7454 -383
3077 805 644
2399 7600 -811
3821 1980 -986
776 1283 910
1285 3701 818
3714 8289 -369
2335 3273 -413
6230 8047 441
3919 3694 455
4157 3444 184
7120 2245 123
6966 408 -878
579 4362 779
5997 4846 838
5391 2459 437
5255 3815 374
8141 3945 119
3582 5114 -85
3769 1110 -585
2046 2661 -933
8017 2770 -140
3661 5630 -781
799 5596 617
7596 4177 67
158 4859 -363
1913 484 48
537 2012 965
3960 5724 -407
1582 371 949
8068 5904 304
1289 4151 -30
5858 3606 177
5 3174 -438
7441 1180 -999
4322 996 -961
4795 5848 62
6500 846 224
5460 1780 206
3159 6420 26
6875 110 -373
4996 3677 904
1988 5136 -364
3059 233 -151
7943 2977 -871
6997 2169 -166
3870 6132 191
121 5837 -183
4816 49 474
7971 6222 -617
3186 492 -318
6113 3209 910
350 4617 156
3933 1659 -950
7034 5192 307
1703 1634 288
3893 5963 240
65 2703 -663
2914 664 -526
809 6711 235
1894 3655 -393
1533 4164 593
3085 2265 236
4288 7271 -50
8175 2176 819
4578 4479 -591
141 5359 -380
2946 6549 605
5658 1061 -648
5817 53 -502
6920 5975 236
4031 613 -402
7384 6763 -116
2787 5469 630
5138 2890 -851
6925 647 -667
1686 7221 823
3348 3735 -127
8455 2614 960
401 2757 -247
1035 4679 794
8447 4402 368
170 745 -422
4414 4913 -6
7311 8320 -688
3407 5241 883
666 6480 -30
6987 3873 945
2053 2589 -163
6490 7344 -686
1731 1996 809
5697 4147 -799
2753 8157 -850
1585 4543 -93
2094 4732 723
4404 7668 -315
3205 5047 -441
451 7981 180
565 7579 441
1516 2812 865
5843 3742 -21
3712 4898 -845
3120 2959 -654
3383 3018 -568
5751 3313 -738
6142 8364 -64
7675 1146 422
5312 7439 877
2242 6524 -409
7548 531 -237
4187 8262 -178
1901 3665 -61
1470 3332 -787
1967 1549 -991
5162 7748 292
3066 3981 -62
4397 958 -147
8158 3962 -958
2446 2074 342
7720 7553 -760
8088 5933 -111
111 4013 -493
5842 3822 -399
1775 5603 390
3379 4831 -921
2701 4449 834
2923 7747 -606
7095 4727 83
6900 2895 520
6422 4548 244
4385 239 879
2862 3355 251
6235 626 -275
1413 3010 -870
7266 5389 -879
5841 7930 707
3473 5936 924
3629 1003 -543
7400 2887 197
4336 1233 -772
6945 7956 -743
3335 6337 631
8349 4612 -798
8403 8343 -345
3793 40 984
137 6466 886
2997 3341 -700
7499 6649 682
2193 4958 -363
351 2147 234
3868 2841 -734
2180 6528 -53
6791 8430 911
394 2923 926
1997 6446 -278
2830 8095 258
1067 3615 -528
6959 4495 -607
2377 6912 331
5434 4216 -442
5248 1139 429
8467 3412 776
8364 7094 -698
3645 5116 -318
6089 8347 -746
8058 3495 118
8441 6380 -669
2575 5879 67
4170 998 9
976 7634 399
235 8490 422
1212 5868 559
1891 1002 -178
4092 8272 417
2111 4389 -226
3976 1881 357
4894 3731 -901
4611 5037 -25
530 7770 236
6162 4472 -146
5607 883 -67
6223 6462 -485
4654 4794 -383
2483 3561 112
